id,brand,model,year,color,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.75"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.75"",""reviewCount"": ""101""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
11,Maserati,Spyder,2002,Mauv,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.79"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.79"",""reviewCount"": ""70""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
12,Volvo,XC90,2010,Crimson,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.34"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.34"",""reviewCount"": ""75""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
13,Ford,Escape,2002,Violet,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.28"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.28"",""reviewCount"": ""185""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
14,Ford,"Explorer Sport Trac",2010,Indigo,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.05"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.05"",""reviewCount"": ""219""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
15,Oldsmobile,Aurora,2003,Fuscia,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.73"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.73"",""reviewCount"": ""232""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
16,Audi,A5,2010,Red,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.93"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.93"",""reviewCount"": ""120""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
17,Pontiac,Fiero,1984,Red,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.96"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.96"",""reviewCount"": ""109""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
18,"Land Rover",Defender,1992,Fuscia,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.66"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.66"",""reviewCount"": ""204""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
19,Mitsubishi,Outlander,2004,Aquamarine,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.59"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.59"",""reviewCount"": ""55""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
20,Ford,"Escort ZX2",2003,Purple,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.29"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.29"",""reviewCount"": ""163""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
21,Mercury,Mariner,2010,Maroon,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.2"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.2"",""reviewCount"": ""205""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
22,Audi,A6,2002,Purple,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.75"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.75"",""reviewCount"": ""62""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
23,Cadillac,DeVille,1993,Fuscia,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.87"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.87"",""reviewCount"": ""156""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
24,Nissan,350Z,2006,Aquamarine,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.26"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.26"",""reviewCount"": ""64""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
25,BMW,X6,2009,Goldenrod,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.72"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.72"",""reviewCount"": ""235""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
