id,brand,model,year,color
123,Mitsubishi,Outlander,2004,Indigo
124,Hummer,H2,2005,Violet
125,Jensen,Interceptor,1966,Khaki
126,Dodge,Ram 1500,1997,Khaki
127,Chevrolet,Corvette,1987,Mauv
128,Audi,V8,1992,Purple
129,Toyota,Camry,2003,Khaki
130,Kia,Rio,2008,Indigo
131,Bentley,Continental,2007,Blue
132,Mercury,Mountaineer,1998,Maroon
133,Volvo,S70,1998,Green
134,Volvo,S60,2013,Purple
135,Land Rover,Freelander,2009,Turquoise
136,Ferrari,F430 Spider,2006,Pink
137,Pontiac,Grand Prix,1984,Indigo
138,Jaguar,XF,2011,Red
139,Mazda,CX-5,2013,Red
140,BMW,5 Series,1998,Khaki
141,Pontiac,6000,1991,Blue
142,Audi,Allroad,2003,Green
143,Lexus,RX,2004,Teal
144,Volkswagen,Tiguan,2011,Turquoise
145,BMW,X5,2000,Mauv
146,Ford,F150,1999,Blue
147,Chevrolet,Lumina,1992,Green
148,Audi,RS 4,2007,Red
149,Honda,del Sol,1994,Red
150,Mercury,Capri,1991,Aquamarine
151,Chevrolet,Express 1500,2001,Pink
152,Toyota,Avalon,2005,Yellow
153,Toyota,Camry Solara,2008,Green
154,Suzuki,XL-7,2004,Red
155,BMW,760,2003,Indigo
156,Cadillac,Fleetwood,1992,Puce
157,Isuzu,i-350,2006,Green
158,Land Rover,Discovery,2004,Violet
159,Subaru,Outback Sport,2002,Khaki
160,Volvo,XC90,2010,Indigo
161,Lexus,SC,2006,Orange
162,Audi,riolet,1995,Orange
163,Nissan,240SX,1994,Puce
164,Lincoln,Continental,1998,Teal
165,Chrysler,Sebring,2007,Mauv
166,Porsche,Boxster,2002,Puce
167,Ford,Thunderbird,1989,Violet
168,Rolls-Royce,Phantom,2013,Indigo
169,Toyota,Highlander,2007,Aquamarine
170,Dodge,Neon,1999,Maroon
171,Ford,Aerostar,1993,Khaki
172,Infiniti,M,2004,Puce
173,Ford,F150,2007,Fuscia
174,Hummer,H1,1997,Orange
175,Chevrolet,G-Series G20,1995,Maroon
176,Dodge,Viper,1994,Indigo
177,Lexus,IS-F,2012,Purple
178,Nissan,Armada,2008,Blue
179,Volkswagen,Passat,2004,Indigo
180,Scion,xB,2004,Khaki
181,Toyota,Camry,2002,Aquamarine
182,Chevrolet,Avalanche 1500,2004,Mauv
183,Mazda,B-Series,1992,Maroon
184,Chevrolet,Colorado,2006,Blue
185,Mitsubishi,Galant,1996,Blue
186,Land Rover,LR2,2010,Mauv
187,Buick,Electra,1989,Teal
188,Toyota,Tacoma,1999,Orange
189,Land Rover,Discovery Series II,1999,Yellow
190,Lamborghini,Murciélago,2006,Maroon
191,Mercedes-Benz,300SL,1993,Red
192,Ford,F350,1992,Green
193,Nissan,350Z,2004,Pink
194,GMC,3500,1999,Green
195,Lexus,RX Hybrid,2011,Aquamarine
196,Chevrolet,Suburban 2500,2007,Yellow
197,BMW,X5 M,2012,Green
198,Lincoln,Navigator,2000,Mauv
199,Honda,Element,2008,Aquamarine
200,Audi,4000,1987,Teal
201,Volkswagen,Golf,2006,Indigo
202,Chevrolet,Camaro,1968,Yellow
203,Toyota,4Runner,1998,Yellow
204,Toyota,Tacoma Xtra,2002,Mauv
205,Chevrolet,Camaro,2011,Purple
206,GMC,3500,1993,Puce
207,Saab,9-3,2007,Khaki
208,Ford,Taurus X,2009,Mauv
209,Mazda,CX-7,2009,Indigo
210,Subaru,Legacy,2011,Crimson
211,Dodge,Caliber,2007,Blue
212,BMW,X3,2009,Crimson
213,Lotus,Esprit,1993,Green
214,Toyota,Tacoma,2009,Violet
215,Buick,Skylark,1990,Red
216,Ford,Bronco,1994,Teal
217,Oldsmobile,Cutlass Supreme,1996,Maroon
218,GMC,Yukon XL 1500,2003,Goldenrod
219,Mazda,Tribute,2005,Pink
220,Toyota,Corolla,2002,Maroon
221,Ford,F-Series,1986,Blue
222,Pontiac,GTO,1972,Puce
223,Bentley,Continental Super,2010,Green
224,Kia,Rondo,2007,Orange
225,Bentley,Arnage,2005,Green
226,Lexus,LS,1995,Indigo
227,Ford,E350,2005,Aquamarine
228,Mercedes-Benz,S-Class,2000,Red
229,GMC,Envoy,2002,Yellow
230,Mercedes-Benz,500E,1992,Turquoise
231,Chevrolet,2500,2000,Green
232,Cadillac,Fleetwood,1994,Orange
233,Nissan,Maxima,1997,Blue
234,Jaguar,S-Type,2000,Mauv
235,Chrysler,LHS,1995,Violet
236,Toyota,Camry Hybrid,2009,Aquamarine
237,BMW,7 Series,2010,Mauv
238,Toyota,MR2,2004,Puce
239,Chevrolet,Equinox,2012,Violet
240,Toyota,Celica,1995,Fuscia
241,Volvo,S40,2006,Mauv
242,Audi,S8,2007,Violet
243,Ford,LTD Crown Victoria,1987,Teal
244,GMC,2500 Club Coupe,1997,Pink
245,Subaru,Tribeca,2006,Mauv
246,Plymouth,Grand Voyager,1993,Puce
247,Toyota,Tercel,1994,Goldenrod
248,Porsche,928,1991,Purple
249,Honda,Civic,1980,Puce
250,Chevrolet,2500,1998,Fuscia
251,Isuzu,i-290,2008,Indigo
252,Chevrolet,Corvette,1997,Teal
253,Acura,MDX,2008,Yellow
254,Mazda,CX-7,2009,Puce
255,BMW,330,2006,Indigo
256,Chevrolet,Caprice,1992,Aquamarine
257,Chevrolet,Tracker,1998,Turquoise
258,MINI,Clubman,2008,Yellow
259,Lotus,Elise,2008,Mauv
260,Pontiac,Bonneville,1996,Indigo
261,Honda,Accord,2002,Mauv
262,Mazda,Miata MX-5,2009,Purple
263,Buick,Special,1962,Goldenrod
264,GMC,Savana 2500,2006,Khaki
265,Pontiac,Grand Prix,2001,Yellow
266,Chevrolet,Silverado 2500,2002,Green
267,Toyota,RAV4,2005,Crimson
268,Kia,Sportage,2001,Turquoise
269,Saab,9-3,2000,Goldenrod
270,Mazda,Mazdaspeed6,2007,Fuscia
271,Acura,TL,2003,Red
272,Subaru,Outback,2004,Aquamarine
273,Ford,Escape,2008,Green
274,Chevrolet,S10 Blazer,1992,Fuscia
275,Ford,Tempo,1987,Yellow
276,Buick,Century,1998,Orange
277,BMW,530,2001,Khaki
278,Hyundai,Santa Fe,2009,Yellow
279,Lincoln,Navigator L,2011,Fuscia
280,Hyundai,Elantra,2004,Teal
281,Austin,Mini,1963,Khaki
282,Dodge,Ram 1500,1999,Orange
283,Nissan,Murano,2004,Purple
284,Infiniti,I,2003,Khaki
285,Saab,900,1999,Fuscia
286,Ford,F350,2011,Crimson
287,Volkswagen,Jetta,1989,Red
288,Ford,Taurus,1996,Goldenrod
289,Volkswagen,Eurovan,1992,Maroon
290,Maserati,GranSport,2005,Violet
291,Ford,Mustang,1984,Orange
292,Geo,Tracker,1992,Red
293,GMC,Vandura G3500,1995,Mauv
294,Honda,Accord,2000,Violet
295,Chevrolet,Monza,1975,Goldenrod
296,Lamborghini,Murciélago LP640,2008,Mauv
297,Ford,Explorer Sport,2002,Purple
298,Volkswagen,Jetta,1998,Violet
299,Saturn,L-Series,2000,Mauv
300,Mercedes-Benz,SL-Class,1988,Yellow
301,Chevrolet,Venture,2000,Green
302,Ford,E-Series,1991,Puce
303,Lexus,GX,2009,Indigo
304,Mitsubishi,Galant,1984,Orange
305,Audi,S5,2011,Mauv
306,Volvo,XC90,2012,Mauv
307,Dodge,Ram 2500,2005,Blue
308,Oldsmobile,Bravada,1996,Puce
309,Subaru,Justy,1994,Fuscia
310,Volvo,960,1997,Goldenrod
311,Chevrolet,Tahoe,2012,Yellow
312,Mazda,929,1990,Puce
313,Audi,A5,2012,Blue
314,Chevrolet,Express 1500,1999,Maroon
315,Ford,F-Series,1989,Goldenrod
316,Mitsubishi,3000GT,1998,Puce
317,Mazda,RX-8,2004,Pink
318,Lincoln,Town Car,2005,Red
319,Nissan,Frontier,2012,Purple
320,Mercury,Grand Marquis,2003,Indigo
321,Lincoln,MKX,2012,Puce
322,Scion,tC,2010,Violet
323,Jeep,Cherokee,1997,Turquoise
324,Chevrolet,Suburban 2500,1995,Green
325,Toyota,Camry,1993,Aquamarine
326,GMC,Savana 3500,2004,Fuscia
327,Chevrolet,Impala,2001,Pink
328,Mercedes-Benz,G-Class,2011,Violet
329,Chevrolet,S10 Blazer,1994,Turquoise
330,Subaru,XT,1986,Yellow
331,Isuzu,i-350,2006,Fuscia
332,Chevrolet,Malibu,1999,Red
333,Mitsubishi,3000GT,1998,Indigo
334,Ford,E350,2011,Violet
335,Porsche,911,1994,Goldenrod
336,Mercury,Cougar,2002,Aquamarine
337,Chrysler,Crossfire,2004,Fuscia
338,Ford,F150,1992,Indigo
339,Ford,LTD Crown Victoria,1985,Maroon
340,Mazda,929,1987,Blue
341,Isuzu,Rodeo,2001,Aquamarine
342,Ford,E-350 Super Duty Van,2006,Red
343,Mercedes-Benz,M-Class,2002,Orange
344,Chevrolet,Silverado,2001,Yellow
345,Dodge,Magnum,2006,Blue
346,Chevrolet,Colorado,2006,Pink
347,Toyota,Tundra,2007,Pink
348,Audi,S4,1992,Yellow
349,Ford,F350,2006,Pink
350,Infiniti,M,2007,Fuscia
351,Toyota,FJ Cruiser,2008,Crimson
352,Volvo,XC60,2010,Goldenrod
353,Dodge,Caravan,1985,Goldenrod
354,Mitsubishi,Montero Sport,2004,Red
355,Saturn,Relay,2007,Turquoise
356,GMC,Sierra 2500,2005,Indigo
357,Mitsubishi,Diamante,1993,Green
358,Ford,Edge,2010,Crimson
359,Dodge,Intrepid,2002,Crimson
360,Hyundai,Elantra,2008,Maroon
361,Kia,Spectra5,2006,Blue
362,Ford,Probe,1989,Red
363,Cadillac,Seville,1996,Indigo
364,Saab,9-5,2002,Yellow
365,Toyota,Highlander,2006,Violet
366,Chrysler,Concorde,2001,Orange
367,Austin,Mini,1963,Pink
368,GMC,Envoy XL,2005,Indigo
369,Ford,Laser,1988,Violet
370,Honda,Odyssey,2000,Mauv
371,Ford,Taurus X,2008,Mauv
372,Saab,900,1987,Fuscia
373,Scion,tC,2012,Teal
374,Geo,Prizm,1995,Mauv
375,Chevrolet,Impala,1994,Yellow
376,Lincoln,Town Car,2001,Violet
377,Toyota,Prius,2002,Khaki
378,Ford,F-Series,2007,Goldenrod
379,Nissan,Versa,2010,Indigo
380,Chevrolet,Monte Carlo,2004,Teal
381,Mitsubishi,Truck,1985,Turquoise
382,Ford,Aerostar,1996,Fuscia
383,Chrysler,Voyager,2002,Puce
384,Ford,Escape,2011,Puce
385,Mitsubishi,Galant,1988,Aquamarine
386,Chevrolet,S10,1998,Pink
387,Toyota,4Runner,1998,Khaki
388,Dodge,Dakota Club,1998,Yellow
389,Nissan,300ZX,1995,Goldenrod
390,Lexus,IS,2004,Maroon
391,Mercury,Grand Marquis,2008,Red
392,Pontiac,Fiero,1988,Goldenrod
393,Lincoln,Mark VIII,1997,Mauv
394,Chevrolet,Express 1500,2010,Aquamarine
395,Mazda,Miata MX-5,2012,Puce
396,Lexus,LS,1999,Maroon
397,Volvo,V40,2002,Teal
398,Buick,Century,1989,Red
399,Chevrolet,Silverado,2006,Khaki
400,Pontiac,Daewoo Kalos,2006,Fuscia
401,Chevrolet,3500,1994,Pink
402,Infiniti,Q,2006,Indigo
403,GMC,Savana 3500,1999,Fuscia
404,Porsche,Boxster,1997,Goldenrod
405,Isuzu,Amigo,1993,Violet
406,Maybach,62,2009,Purple
407,Oldsmobile,Cutlass Supreme,1993,Puce
408,Chevrolet,Lumina APV,1992,Turquoise
409,GMC,Vandura 3500,1993,Crimson
410,Dodge,Grand Caravan,2010,Green
411,Lexus,LS,2008,Fuscia
412,Pontiac,Firebird,1997,Puce
413,MG,MGB,1977,Goldenrod
414,Lexus,ES,2003,Puce
415,Lotus,Exige,2010,Purple
416,Chevrolet,Suburban 1500,2011,Green
417,Hyundai,XG350,2005,Teal
418,Nissan,350Z,2009,Fuscia
419,Volkswagen,Passat,1986,Turquoise
420,Daewoo,Lanos,2002,Mauv
421,Eagle,Vision,1997,Aquamarine
422,Eagle,Talon,1990,Puce
423,Saturn,L-Series,2005,Blue
424,Saab,900,1990,Blue
425,Volvo,V70,2007,Fuscia
426,Toyota,4Runner,2004,Crimson
427,Mercury,Grand Marquis,2000,Turquoise
428,Lexus,ES,1993,Violet
429,BMW,7 Series,2001,Maroon
430,Volvo,XC90,2007,Fuscia
431,Mitsubishi,Galant,2010,Puce
432,Nissan,350Z,2005,Pink
433,Mitsubishi,Mirage,1996,Indigo
434,Pontiac,Firebird,2002,Red
435,Chevrolet,Astro,2004,Crimson
436,Volkswagen,Golf,2004,Goldenrod
437,Audi,Q7,2008,Fuscia
438,Mercury,Sable,2003,Mauv
439,Audi,RS 4,2008,Violet
440,Honda,Element,2006,Yellow
441,Land Rover,Range Rover,2001,Turquoise
442,Dodge,Colt,1992,Green
443,Isuzu,Rodeo,1995,Green
444,BMW,X5,2012,Pink
445,Ford,LTD Crown Victoria,1989,Green
446,Ford,Bronco,1989,Aquamarine
447,Toyota,4Runner,1996,Red
448,GMC,Sierra 1500,2009,Goldenrod
449,Volkswagen,Golf,1993,Yellow
450,Lexus,GS,1998,Goldenrod
451,Mazda,RX-7,1989,Mauv
452,Land Rover,Discovery,2000,Fuscia
453,Chevrolet,Blazer,1995,Indigo
454,Chevrolet,Express 2500,2005,Pink
455,Toyota,Celica,2005,Red
456,Buick,Rendezvous,2003,Blue
457,Volkswagen,Scirocco,1986,Indigo
458,Mazda,Protege,2003,Violet
459,Lotus,Esprit,1998,Red
460,Volkswagen,Jetta,2010,Maroon
461,Subaru,SVX,1995,Mauv
462,Ram,1500,2012,Puce
463,GMC,2500,1992,Turquoise
464,Chevrolet,G-Series G30,1996,Orange
465,Cadillac,Escalade,1999,Pink
466,Dodge,Dakota,2006,Khaki
467,Honda,S2000,2000,Khaki
468,Porsche,Cayenne,2010,Maroon
469,Suzuki,Samurai,1993,Blue
470,Oldsmobile,Achieva,1994,Mauv
471,Audi,A4,2006,Teal
472,Saab,9-5,2000,Indigo
473,Volvo,S80,2010,Indigo
474,Mitsubishi,Raider,2006,Red
475,Chevrolet,Suburban 1500,2007,Red
476,GMC,Yukon XL 1500,2005,Maroon
477,Dodge,Dakota Club,2002,Red
478,Volkswagen,Eurovan,1992,Violet
479,Toyota,Sienna,2002,Puce
480,Isuzu,VehiCROSS,2000,Puce
481,Mitsubishi,Galant,1996,Mauv
482,Dodge,Ram Wagon B150,1994,Orange
483,Chevrolet,Cavalier,1999,Puce
484,Saab,9-3,2001,Goldenrod
485,Lexus,SC,2000,Green
486,Mercury,Capri,1986,Red
487,Buick,LeSabre,1985,Goldenrod
488,Mazda,B2600,1987,Red
489,Acura,MDX,2005,Blue
490,Dodge,Dakota Club,1995,Teal
491,Dodge,Durango,2002,Orange
492,Ford,Explorer Sport Trac,2007,Khaki
493,Ford,F250,2000,Mauv
494,Buick,Roadmaster,1993,Aquamarine
495,Lexus,LX,2009,Red
496,Pontiac,Grand Prix,1985,Fuscia
497,Pontiac,Grand Prix,1968,Turquoise
498,Audi,Quattro,1993,Teal
499,Isuzu,Amigo,1999,Blue
500,Pontiac,Parisienne,1986,Teal
501,Saab,900,1997,Crimson
502,Pontiac,Grand Am,1995,Indigo
503,Subaru,Impreza,2008,Crimson
504,Chevrolet,3500,1996,Aquamarine
505,Hyundai,Excel,1994,Teal
506,Mazda,RX-8,2006,Indigo
507,Saturn,S-Series,2002,Turquoise
508,Volkswagen,Golf,2011,Goldenrod
509,Acura,RSX,2003,Blue
510,Lexus,ES,2001,Green
511,Maserati,Gran Sport,2005,Turquoise
512,Suzuki,SJ,1992,Indigo
513,GMC,Sonoma Club Coupe,1997,Yellow
514,Daewoo,Lanos,2001,Red
515,Dodge,Ram 2500 Club,1999,Goldenrod
516,Ford,Probe,1990,Goldenrod
517,Mitsubishi,Pajero,1999,Purple
518,Hyundai,Tucson,2011,Indigo
519,BMW,Z4,2005,Purple
520,Nissan,Maxima,1995,Goldenrod
521,Lotus,Esprit,1998,Khaki
522,Nissan,Armada,2008,Puce
523,Dodge,Ram 2500 Club,1998,Orange
524,Volvo,S40,2008,Aquamarine
525,Toyota,Tacoma,2006,Khaki
526,Mercury,Sable,1987,Crimson
527,Nissan,Pathfinder,1994,Fuscia
528,Mercury,Mariner,2007,Green
529,Jeep,Wrangler,2009,Maroon
530,Subaru,Forester,2010,Indigo
531,Chevrolet,Avalanche 2500,2002,Puce
532,Citroën,SM,1972,Red
533,Acura,Legend,1989,Blue
534,Honda,Accord,2010,Turquoise
535,Dodge,Durango,2011,Crimson
536,Honda,Fit,2009,Mauv
537,Mercedes-Benz,500SL,1993,Crimson
538,Pontiac,Bonneville,1964,Yellow
539,Acura,MDX,2009,Mauv
540,Tesla,Roadster,2010,Yellow
541,Rolls-Royce,Phantom,2007,Crimson
542,Volkswagen,Cabriolet,1989,Fuscia
543,Hyundai,Elantra,2009,Mauv
544,GMC,Rally Wagon G3500,1996,Mauv
545,Jeep,Commander,2007,Indigo
546,Nissan,Titan,2005,Aquamarine
547,Mercury,Grand Marquis,1988,Maroon
548,Lexus,ES,1992,Green
549,Mitsubishi,Galant,2011,Turquoise
550,Suzuki,Kizashi,2010,Goldenrod
551,Hyundai,Genesis,2011,Violet
552,Rolls-Royce,Phantom,2006,Red
553,Nissan,350Z,2005,Teal
554,Volkswagen,Golf,1989,Goldenrod
555,Chevrolet,Blazer,2000,Teal
556,Ford,F350,2001,Goldenrod
557,Acura,NSX,2002,Red
558,Mercedes-Benz,C-Class,1999,Orange
559,Kia,Rio,2011,Aquamarine
560,Audi,Quattro,1985,Blue
561,Mercedes-Benz,CLK-Class,1998,Turquoise
562,Buick,Park Avenue,1998,Fuscia
563,Land Rover,Discovery Series II,1999,Yellow
564,Plymouth,Neon,2000,Violet
565,Audi,90,1988,Blue
566,Oldsmobile,Aurora,1998,Goldenrod
567,GMC,Envoy,2003,Orange
568,Chevrolet,G-Series G20,1995,Blue
569,Porsche,Boxster,2009,Goldenrod
570,Suzuki,Grand Vitara,2006,Fuscia
571,Chevrolet,S10,2001,Purple
572,Cadillac,Escalade,2004,Orange
573,Subaru,Justy,1990,Yellow
574,Subaru,Outback,2008,Yellow
575,Honda,Prelude,1998,Crimson
576,GMC,Savana 2500,2010,Violet
577,Kia,Sportage,2007,Purple
578,Toyota,Matrix,2007,Puce
579,GMC,Sonoma Club,1992,Blue
580,Cadillac,SRX,2008,Violet
581,Lotus,Evora,2011,Yellow
582,Saab,9000,1988,Red
583,Pontiac,Bonneville,1989,Green
584,Nissan,Altima,2004,Purple
585,Toyota,Tacoma Xtra,1999,Indigo
586,Mazda,Tribute,2006,Puce
587,Chevrolet,Silverado 2500,2005,Indigo
588,Mitsubishi,Galant,2005,Fuscia
589,Toyota,Celica,1998,Red
590,Pontiac,Aztek,2003,Turquoise
591,Buick,Riviera,1993,Maroon
592,Mitsubishi,RVR,1992,Yellow
593,Jeep,Patriot,2012,Mauv
594,Chevrolet,Equinox,2011,Puce
595,Pontiac,Solstice,2007,Red
596,Ford,Laser,1987,Teal
597,Ford,Thunderbird,2006,Teal
598,Dodge,Ram Wagon B150,1994,Puce
599,Pontiac,Sunfire,1995,Teal
600,Ford,Tempo,1988,Goldenrod
601,Mazda,CX-7,2010,Red
602,Lotus,Exige,2009,Crimson
603,Ford,Mustang,2010,Aquamarine
604,Pontiac,Grand Am,2002,Blue
605,Jeep,Grand Cherokee,1997,Purple
606,GMC,Savana 1500,2002,Aquamarine
607,Mercedes-Benz,R-Class,2008,Turquoise
608,Mercedes-Benz,SLR McLaren,2009,Aquamarine
609,GMC,Acadia,2009,Aquamarine
610,Ford,Mustang,1990,Khaki
611,Ford,Crown Victoria,2009,Green
612,Saab,9-5,2007,Maroon
613,Mazda,B-Series Plus,1994,Pink
614,Ford,Bronco,1988,Goldenrod
615,Porsche,928,1994,Puce
616,Ford,F250,2007,Goldenrod
617,Ford,Econoline E150,1995,Orange
618,Dodge,Ram 1500,2002,Puce
619,Dodge,Ram 3500,2009,Puce
620,Audi,A6,2008,Maroon
621,Buick,Regal,1998,Crimson
622,Ford,E-Series,1992,Turquoise
623,Chrysler,Town & Country,1995,Khaki
624,Suzuki,Daewoo Lacetti,2004,Green
625,Toyota,Tundra,2008,Blue
626,Isuzu,Trooper,2000,Aquamarine
627,Buick,Century,1988,Goldenrod
628,Volkswagen,Cabriolet,1996,Fuscia
629,Dodge,Ram 3500,2010,Yellow
630,Cadillac,SRX,2010,Fuscia
631,Ford,Escort,2001,Khaki
632,Lexus,GS,2007,Green
633,Chevrolet,Express 3500,2007,Maroon
634,Mitsubishi,3000GT,1995,Teal
635,Acura,Integra,1993,Puce
636,Saab,900,1985,Violet
637,Mercedes-Benz,E-Class,1992,Fuscia
638,Chevrolet,Traverse,2009,Teal
639,Mitsubishi,Tundra,2009,Pink
640,Mercury,Tracer,1991,Turquoise
641,Buick,LeSabre,1988,Turquoise
642,BMW,7 Series,1997,Crimson
643,Pontiac,Bonneville,1987,Yellow
644,Mitsubishi,Expo,1994,Yellow
645,BMW,M Roadster,2008,Mauv
646,Mercury,Villager,1996,Pink
647,Pontiac,Montana,2006,Yellow
648,Volkswagen,Golf,2001,Red
649,Nissan,Altima,2006,Khaki
650,Suzuki,Daewoo Lacetti,2004,Mauv
651,Mercury,Sable,1996,Fuscia
652,Chevrolet,Equinox,2010,Yellow
653,Toyota,Cressida,1992,Fuscia
654,Dodge,Ram Van B250,1993,Pink
655,Subaru,Tribeca,2012,Yellow
656,GMC,Envoy XL,2004,Mauv
657,Chevrolet,S10,1992,Turquoise
658,Chevrolet,Beretta,1995,Violet
659,Ford,Escort,1991,Teal
660,Maserati,430,1989,Maroon
661,Oldsmobile,Achieva,1997,Goldenrod
662,Aston Martin,Vanquish S,2005,Mauv
663,Volvo,C30,2013,Blue
664,Chevrolet,Suburban 2500,2002,Goldenrod
665,Chevrolet,S10,1994,Orange
666,Chevrolet,Camaro,1985,Orange
667,Ford,Escape,2001,Blue
668,Pontiac,Firebird,1987,Pink
669,Mitsubishi,Eclipse,2003,Fuscia
670,Mercury,Capri,1984,Turquoise
671,Chevrolet,Uplander,2006,Yellow
672,Toyota,RAV4,2003,Khaki
673,Subaru,SVX,1992,Pink
674,Suzuki,Swift,2004,Crimson
675,Ford,Econoline E150,1993,Red
676,Land Rover,Range Rover,1986,Khaki
677,Infiniti,G,2004,Turquoise
678,Ford,Escape,2004,Indigo
679,Volkswagen,Touareg,2003,Goldenrod
680,GMC,Rally Wagon G3500,1995,Violet
681,BMW,M5,2006,Aquamarine
682,Suzuki,Sidekick,1990,Indigo
683,Pontiac,Grand Am,2004,Violet
684,Morgan,Aero 8,2008,Khaki
685,Toyota,Xtra,1995,Crimson
686,Nissan,Xterra,2009,Fuscia
687,Oldsmobile,Silhouette,1996,Goldenrod
688,Aston Martin,DB9,2009,Green
